date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:51	184/184	---MCZ	200	added ('OK')	text/plain	date:Fri,%2021%20Mar%202014%2020:03:47%20GMT	http://armguitar.do.am/robots.txt		(from )
13:03:51	25947/25947	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:03:47%20GMT	http://armguitar.do.am/	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index.html	(from )
13:03:52	18079/18079	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Jan%202014%2019:49:10%20GMT	http://armguitar.do.am/_st/my.css	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/_st/my.css	(from http://armguitar.do.am/)
13:03:52	329/329	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:03:48%20GMT	http://armguitar.do.am/abnl/?adsdata=zM3yyLdwvCtFn429lTOata2qxGfKnIwJhUpI4vWF6c!Nl9fWJ5nK2g7MHbqk9Qkf57ML0J72O55HNkFHcS4r4;hQh!kcBZJMQMUIieCJwBMMBffo	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/abnl/index0f55.html	(from http://armguitar.do.am/)
13:03:52	973/973	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202014%2014:17:09%20GMT	http://s45.ucoz.net/src/base.css	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/s45.ucoz.net/src/base.css	(from http://armguitar.do.am/)
13:03:53	27078/27078	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202014%2014:17:09%20GMT	http://s45.ucoz.net/src/layer1.css	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/s45.ucoz.net/src/layer1.css	(from http://armguitar.do.am/)
13:03:54	6403/6403	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202014%2014:17:33%20GMT	http://s45.ucoz.net/src/ulightbox/ulightbox.css	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/s45.ucoz.net/src/ulightbox/ulightbox.css	(from http://armguitar.do.am/)
13:03:55	94840/94840	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2030%20Jan%202014%2014:17:09%20GMT	http://s45.ucoz.net/src/jquery-1.7.2.js	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/s45.ucoz.net/src/jquery-1.7.2.js	(from http://armguitar.do.am/)
13:03:56	39733/39733	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2030%20Jan%202014%2014:17:33%20GMT	http://s45.ucoz.net/src/ulightbox/ulightbox.js	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/s45.ucoz.net/src/ulightbox/ulightbox.js	(from http://armguitar.do.am/)
13:03:57	42567/42567	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:03:52%20GMT	http://armguitar.do.am/index/3	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/3.html	(from http://armguitar.do.am/)
